"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,1,1,1,1,0,1,2
"2",0,0,0,0,0,0,0,0,0,0
"3",1,3,0,0,2,0,1,3,1,4
"4",0,0,0,0,1,0,0,0,0,1
"5",0,0,0,0,1,0,0,0,0,1
"6",0,1,1,0,1,0,1,1,0,1
"7",0,1,0,0,2,1,0,1,1,2
"8",0,1,0,0,2,1,0,1,1,2
"9",1,1,0,0,1,0,1,1,1,1
"10",0,0,0,0,1,0,0,1,0,1
"11",0,0,0,0,0,0,0,0,0,0
"12",1,0,1,0,0,0,0,0,1,1
"13",0,0,0,0,0,0,0,1,1,0
"14",0,0,0,0,2,0,0,0,0,2
"15",0,0,0,1,0,1,0,0,1,0
"16",0,1,1,0,1,0,1,1,0,1
"17",0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,1,1,0
"19",0,1,1,0,1,0,1,1,0,1
"20",0,1,0,0,0,0,0,0,1,0
"21",0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,1,0,1
"23",1,0,1,0,0,0,0,0,2,0
"24",0,1,0,0,1,0,0,0,0,1
"25",1,1,0,0,1,0,1,1,0,1
"26",0,1,0,0,1,0,0,0,0,1
"27",0,0,0,0,1,0,0,0,0,1
"28",0,1,0,0,1,0,0,0,0,1
"29",0,1,0,0,1,0,0,0,0,1
"30",1,0,0,1,0,0,0,0,1,0
"31",0,0,0,0,0,0,0,0,0,0
"32",0,1,0,0,1,0,0,0,1,2
"33",0,0,0,0,1,0,0,0,0,1
"34",0,1,0,0,1,0,1,1,0,1
"35",0,1,0,0,1,2,1,2,1,2
"36",0,0,0,0,0,2,0,0,4,0
"37",0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,1,0,0,0,0,1
"39",0,0,0,0,0,0,0,0,0,0
"40",2,0,0,1,2,1,0,1,3,2
"41",2,0,0,1,2,1,0,1,3,2
"42",0,0,0,0,0,0,0,0,0,0
"43",0,1,0,0,1,2,1,2,1,2
"44",0,0,0,1,0,0,0,0,1,0
"45",0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,1,0,0,0,0,1
"47",0,1,0,0,1,0,0,1,0,1
"48",0,1,0,0,0,0,0,1,1,2
"49",0,0,0,0,0,0,0,0,0,1
"50",0,2,0,0,2,0,1,2,1,2
"51",0,1,0,0,1,0,0,2,0,2
"52",1,1,0,0,1,0,1,1,0,3
"53",0,1,0,0,1,2,1,2,1,2
"54",0,1,0,0,1,2,1,2,1,2
"55",0,0,0,0,0,0,1,2,0,2
"56",0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,1,0,0,0,0,1
"59",0,0,0,0,1,0,0,0,0,1
"60",0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,1
"62",0,0,0,0,0,0,0,0,0,0
"63",0,1,0,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,1,0,0,1,0,1
"68",0,1,0,2,0,0,0,0,1,0
"69",3,2,2,2,1,1,0,1,2,2
"70",0,1,0,0,0,0,0,1,1,2
"71",0,0,0,0,2,0,0,0,1,3
"72",1,0,1,1,1,1,0,1,1,1
"73",0,3,0,0,3,0,0,2,0,3
"74",0,3,0,0,3,0,0,2,0,3
"75",0,0,0,0,0,0,0,1,0,0
"76",2,1,1,1,1,1,2,0,2,1
"77",0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0
"79",0,2,0,0,2,0,0,0,0,3
"80",0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,1,0,0,0,0,1
"82",0,2,0,0,1,0,0,0,2,1
"83",0,1,1,0,1,0,1,1,0,1
"84",0,1,1,0,1,0,1,1,0,1
"85",0,1,1,0,1,0,1,1,0,1
"86",1,1,0,0,1,1,0,2,1,1
"87",0,1,1,0,1,0,1,1,0,1
