"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,0,0,0,1,0,0,0
"2",0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0
"4",1,1,1,1,1,1,0,2,1,2
"5",0,1,0,0,0,0,0,0,1,0
"6",0,2,1,1,1,0,1,1,0,1
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,1,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,1,0,0
"10",0,1,0,0,1,0,0,1,0,2
"11",0,1,0,0,0,0,0,0,1,0
"12",0,2,0,1,0,0,0,1,0,1
"13",0,1,0,0,0,0,1,0,1,1
"14",0,1,0,0,3,1,1,2,2,3
"15",0,0,0,0,0,1,0,0,1,0
"16",0,1,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0
"18",0,2,0,0,1,0,0,2,0,1
"19",0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0
"22",0,2,0,0,1,0,0,0,0,2
"23",0,0,0,1,0,1,0,1,1,0
"24",0,0,0,0,0,0,0,0,0,0
"25",0,1,0,0,0,0,0,0,1,0
"26",1,0,1,1,1,0,0,0,1,1
"27",0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0
"32",0,0,0,1,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0
"35",0,0,1,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0
"37",0,0,1,0,0,0,0,0,1,0
"38",0,0,0,0,0,0,1,0,0,0
"39",0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,1,1,0
"42",0,1,0,0,1,1,0,1,0,2
"43",0,0,0,0,0,0,0,0,0,0
"44",0,1,0,0,0,0,0,0,1,0
"45",0,0,0,0,0,0,1,0,0,0
"46",0,0,0,0,0,0,0,0,0,1
"47",0,0,0,0,0,0,0,0,0,0
"48",0,1,0,0,1,0,0,1,0,2
"49",0,1,0,0,1,0,0,1,0,2
"50",0,0,0,0,1,0,0,0,0,1
"51",0,0,0,0,0,1,0,0,1,0
"52",1,1,0,0,2,1,2,1,3,1
"53",0,0,0,0,0,0,0,1,0,0
"54",0,1,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,1,0,0,1,0
"56",0,0,0,0,0,0,0,0,0,0
"57",0,0,0,1,0,0,0,1,1,1
"58",0,1,0,0,1,1,1,2,1,2
"59",0,0,0,0,0,0,0,1,0,0
"60",0,1,0,0,0,0,0,1,0,0
"61",0,2,0,0,1,0,1,0,0,2
"62",1,0,0,0,0,0,1,0,1,1
"63",0,2,0,0,1,0,0,1,0,1
"64",0,0,0,0,0,0,0,0,0,0
"65",1,0,1,0,1,0,0,1,1,2
"66",1,1,0,1,0,0,0,0,2,0
"67",1,0,1,0,0,0,0,1,1,0
"68",0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0
"70",1,0,1,0,0,1,0,0,2,0
"71",0,0,0,0,0,0,0,0,0,0
"72",1,1,0,1,0,0,0,0,2,0
"73",0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,1,1,0,2,2,1
"75",0,1,0,0,0,0,0,1,0,0
"76",0,1,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,1,0,0,0
"79",1,1,0,1,0,0,0,0,2,0
"80",0,0,0,0,0,0,0,0,0,0
"81",0,1,0,0,1,0,0,1,0,1
"82",0,0,0,0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,1,0,0,1,0
"85",0,0,0,0,0,0,0,0,0,0
"86",1,0,1,0,1,0,0,1,1,2
"87",0,0,0,0,0,0,0,0,0,0
"88",0,0,0,0,0,0,2,0,1,0
"89",0,0,0,0,0,0,0,0,0,0
"90",0,2,0,0,1,0,0,1,0,1
"91",0,0,0,0,1,0,0,0,0,1
"92",1,1,0,0,0,1,0,0,1,0
"93",0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,0,1
"95",0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,1,0,0,0,0,1
"97",0,0,0,0,1,0,0,0,0,1
"98",0,0,0,1,0,1,0,0,1,0
"99",0,0,0,0,0,0,0,0,0,0
"100",1,2,0,0,0,0,1,2,0,2
"101",0,1,0,0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0,0,0,1
"103",0,0,0,0,0,0,0,0,0,0
"104",0,1,0,0,0,0,0,1,0,0
"105",0,0,0,0,0,0,0,0,1,0
"106",0,0,0,0,0,1,0,0,1,0
"107",0,0,0,0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0,0,0,0
"109",0,2,0,0,1,0,0,1,0,1
"110",0,0,0,0,0,0,0,1,0,1
"111",0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,1
"113",0,1,0,0,0,0,0,0,2,0
"114",0,0,0,0,1,0,0,0,0,1
"115",0,0,0,0,1,1,0,0,2,1
"116",2,0,1,2,0,2,0,0,2,1
"117",1,1,0,1,0,0,0,0,2,0
"118",0,2,0,0,1,0,0,1,0,1
"119",0,0,0,0,0,0,0,0,0,0
"120",1,1,0,1,0,0,0,0,2,0
"121",0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,1
"123",0,0,0,0,0,0,0,0,0,1
"124",0,0,0,0,0,0,0,0,0,2
"125",0,0,0,0,1,0,0,0,0,1
"126",0,0,0,0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0
"128",0,1,0,1,2,0,0,1,0,3
"129",0,0,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0,0,0,1
"131",1,2,0,2,0,0,0,0,1,1
"132",0,0,0,0,0,0,0,1,0,1
"133",0,0,0,0,0,0,0,0,1,0
"134",0,0,0,0,0,0,0,0,0,0
