"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,0,0,0,0,0,1,0,2
"2",0,0,0,0,0,0,0,1,0,1
"3",1,1,0,0,0,0,0,0,2,0
"4",3,0,2,0,0,1,1,0,3,0
"5",0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0
"7",1,1,0,0,0,0,0,0,2,0
"8",1,0,1,0,0,0,0,2,2,1
"9",0,0,0,0,1,0,0,0,0,1
"10",0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,1,0,0,0,0,1
"12",0,0,0,0,1,0,0,0,0,1
"13",0,1,0,0,0,0,1,2,0,0
"14",0,0,0,0,0,0,0,0,0,0
"15",1,1,1,1,1,1,0,2,2,1
"16",0,0,0,0,0,0,0,0,0,0
"17",0,2,0,0,1,0,1,1,0,2
"18",0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,1,0
"20",0,0,0,0,0,0,0,0,0,0
"21",2,0,1,2,1,1,0,1,2,1
"22",0,0,0,0,1,0,0,0,0,1
"23",0,1,0,1,0,0,0,0,0,1
"24",0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,1,0,0,0,0,1
"26",0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0
"28",0,1,1,0,1,0,1,1,0,1
"29",0,1,0,0,1,0,1,2,0,2
"30",0,0,0,0,0,0,0,0,0,0
"31",0,2,0,1,0,0,1,1,1,0
"32",0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,1,0,0,0,0,1
"34",0,0,0,0,0,0,0,0,1,0
"35",0,0,0,0,0,0,0,0,0,1
"36",0,0,0,0,1,0,0,0,0,1
"37",0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0
"39",1,0,0,1,0,1,1,1,1,1
"40",0,0,0,0,0,1,0,0,1,0
"41",0,0,0,0,1,0,0,0,0,1
"42",1,0,1,0,1,0,0,1,1,1
"43",0,0,0,0,1,0,0,0,0,1
"44",0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,1,0,1
"46",1,2,0,0,0,0,1,2,0,2
"47",1,0,0,0,0,0,0,0,1,0
"48",0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0
"50",1,0,0,1,0,0,1,0,1,0
"51",0,0,0,0,0,0,0,1,0,2
"52",0,0,0,0,0,0,0,0,0,0
"53",0,1,0,0,2,0,0,1,0,2
"54",0,0,0,0,0,0,0,0,0,0
"55",0,2,0,0,2,0,2,1,0,2
"56",0,0,0,0,0,0,0,0,0,0
"57",1,2,0,0,0,0,1,2,0,2
"58",0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,1
"60",0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,1,0,0,0,0,1
"62",0,1,0,1,2,0,0,2,1,3
"63",0,0,0,0,0,0,0,1,0,0
"64",0,0,0,0,0,0,0,1,0,0
"65",0,0,0,0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,1,0,0,0,0,1
"70",1,2,0,0,0,0,0,1,0,2
"71",0,0,0,0,1,0,0,0,0,1
"72",0,0,0,0,0,0,0,0,0,0
"73",0,1,0,1,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,1
"75",2,2,0,1,1,1,0,1,2,1
"76",0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0
"78",1,0,0,0,0,0,0,2,1,2
"79",0,0,0,0,0,0,0,0,0,0
"80",0,1,0,0,1,0,1,0,0,1
"81",1,0,1,1,2,0,1,1,1,2
"82",2,2,0,2,2,2,1,1,2,3
"83",0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0,1,0,0,1
"85",0,0,0,0,0,0,0,0,0,0
"86",0,2,0,0,1,0,0,0,0,1
"87",0,0,0,0,0,0,0,0,0,1
"88",0,0,0,0,0,0,0,0,0,1
"89",0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,0,0
"91",0,2,0,1,0,0,0,2,0,2
"92",0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,1,0,0,1
"94",0,0,0,0,0,0,0,0,0,0
